trial_index,arm_name,trial_status,generation_method,rho_max,num_islands_H200,skew_exponent_H200,num_islands_H800,skew_exponent_H800,num_islands_H20,skew_exponent_H20
6,6_4,RUNNING,BoTorch,0.08029967736750639,10,5.0,64,-5.0,1,-0.5644770203599515
6,6_5,RUNNING,BoTorch,10.000083044072037,13,-5.0,49,5.0,64,3.369160132310407
6,6_6,RUNNING,BoTorch,9.999868434324384,6,5.0,64,5.0,64,1.5976764104028596
6,6_7,RUNNING,BoTorch,0.08030492476471832,14,-5.0,64,-5.0,1,-1.6481538837854262
6,6_8,RUNNING,BoTorch,0.012956393576899273,14,-4.912560936954378,14,-2.8172519792967603,17,-4.319071076768482
6,6_9,RUNNING,BoTorch,0.01932184577067959,10,2.4472847259934527,8,5.0,42,-5.0
7,7_0,RUNNING,BoTorch,0.08874677918099765,11,-5.0,17,0.21941869816480475,11,2.111785731683146
7,7_1,RUNNING,BoTorch,0.0191049641554383,16,2.744978989202299,1,1.3614043375676934,1,4.690830727753573
7,7_10,RUNNING,BoTorch,9.999992332241945,16,5.0,64,0.08325354176060369,64,-5.0
7,7_11,RUNNING,BoTorch,0.0455579833391783,4,-3.654384087494958,4,3.539496176450645,14,-3.9784619500774707
7,7_12,RUNNING,BoTorch,0.019060849550661348,16,-5.0,1,1.8067286050423397,1,2.1944328038706087
7,7_13,RUNNING,BoTorch,10.000190864037581,6,5.0,64,-0.1935253384784999,28,-5.0
7,7_14,RUNNING,BoTorch,0.12733456257890186,16,-5.0,29,5.0,64,-2.4370193212308755
7,7_15,RUNNING,BoTorch,0.025482639027333286,1,-5.0,1,2.0109814942769564,64,-4.198136560560321
7,7_2,RUNNING,BoTorch,0.03248587486764534,2,-5.0,1,-4.58342742337116,20,-0.9322113222903202
7,7_3,RUNNING,BoTorch,0.012916560958831043,3,-5.0,64,5.0,16,-2.4362719272123154
7,7_4,RUNNING,BoTorch,0.08026660692928682,2,-5.0,1,1.066560466399347,1,2.054445573012549
7,7_5,RUNNING,BoTorch,0.08023367085617363,16,-5.0,64,0.6933018326908263,1,2.143914987309548
7,7_6,RUNNING,BoTorch,0.02523147402236214,16,-5.0,1,-1.0979455412043713,43,2.1559287168225243
7,7_7,RUNNING,BoTorch,0.02533480274740265,16,-5.0,1,-5.0,48,4.2474033675340594
7,7_8,RUNNING,BoTorch,0.018189197362019783,6,5.0,2,-0.43704906647763875,64,-4.66587640157997
7,7_9,RUNNING,BoTorch,9.999931964198266,9,-5.0,28,5.0,64,-3.660180219588791
8,8_0,RUNNING,BoTorch,0.0847852209437653,1,-0.352312777522838,1,1.85403976599799,1,-4.274538269570549
8,8_1,RUNNING,BoTorch,0.084748098548202,1,5.0,1,-0.3415276375973464,1,-3.8257247013999147
8,8_10,RUNNING,BoTorch,9.99995288280311,1,5.0,64,-4.072273727566275,64,-2.966625185614195
8,8_11,RUNNING,BoTorch,0.04787157653785981,1,-5.0,28,-1.2636481456093307,1,-1.528220222156834
8,8_12,RUNNING,BoTorch,0.0845662269098841,1,5.0,1,2.090503578182364,1,-2.801140750599287
8,8_13,RUNNING,BoTorch,0.024979106312874207,16,-5.0,55,-4.693854288920622,1,-3.265996394953069
8,8_14,RUNNING,BoTorch,0.08071374605048914,9,4.259199974519442,57,-3.599112942535884,13,-3.1775380433597733
8,8_15,RUNNING,BoTorch,0.014171474689250745,11,-1.008045000327154,6,-4.684342362384482,1,-3.028982893234099
8,8_2,RUNNING,BoTorch,0.08009052386231903,16,5.0,64,-0.3530714526217255,1,-2.892560106418934
8,8_3,RUNNING,BoTorch,0.019026921783775602,16,-5.0,1,-5.0,1,-3.101350246816697
8,8_4,RUNNING,BoTorch,0.02523028286261273,16,-5.0,1,-2.110651466646665,64,-1.618750356944859
8,8_5,RUNNING,BoTorch,0.08465284645038917,1,-5.0,1,4.847016173222388,1,-4.503515125887592
8,8_6,RUNNING,BoTorch,0.018862352610235025,16,-5.0,1,2.2848100225754484,1,-4.451445536214314
8,8_7,RUNNING,BoTorch,10.000026472235037,16,5.0,64,-0.39753112073107,64,-1.7228286330211164
8,8_8,RUNNING,BoTorch,0.0256073413964048,1,5.0,1,-5.0,64,-3.6781705240956564
8,8_9,RUNNING,BoTorch,0.025406584501298873,1,5.0,1,-5.0,64,-2.076265036614465
9,9_0,RUNNING,BoTorch,0.019764439916012046,16,2.5421566834392277,37,-3.79190289502444,1,-3.346258060870826
9,9_1,RUNNING,BoTorch,0.042437563940120895,7,3.2967104032146914,7,-2.0134380272290446,60,-4.463667377414473
9,9_10,RUNNING,BoTorch,10.000052814810584,1,5.0,64,-2.9777885525499324,44,-4.232137542299724
9,9_11,RUNNING,BoTorch,0.017571377778201447,1,1.4240997000390871,33,-3.4481370474267403,7,-3.388473000295468
9,9_12,RUNNING,BoTorch,0.0829653317416898,16,-1.805151701268728,20,-1.533712845056498,47,-3.930670416694398
9,9_13,RUNNING,BoTorch,0.08130964410302258,16,-2.3909304602974655,30,-0.0988330218682169,32,-2.702160197651136
9,9_14,RUNNING,BoTorch,0.08130327179435884,1,3.47637112898349,52,-3.752866736105008,33,-3.411937578723411
9,9_15,RUNNING,BoTorch,0.08430379235221466,16,-2.9262288870360034,30,-2.259213890842519,21,4.606811127711557
9,9_2,RUNNING,BoTorch,0.05294625997082303,16,5.0,64,-2.2453170793418993,10,-3.37444763226574
9,9_3,RUNNING,BoTorch,0.08210295851714151,16,1.068761923522866,29,-5.0,43,-3.324832051775459
9,9_4,RUNNING,BoTorch,0.04807375994438473,3,2.701010068112273,29,4.008785403961335,18,-4.609411355526586
9,9_5,RUNNING,BoTorch,0.015326797135668887,1,-1.844302926844766,27,-2.568238653521734,18,-4.635682587034864
9,9_6,RUNNING,BoTorch,0.027051300592150808,16,5.0,9,-0.3134746853855881,52,-4.3997470616558
9,9_7,RUNNING,BoTorch,0.0826392459158006,1,5.0,63,-4.122375175785996,47,-4.5527149584010225
9,9_8,RUNNING,BoTorch,0.031420101872980756,1,-5.0,23,5.0,26,-2.0282249217622264
9,9_9,RUNNING,BoTorch,10.000064465589823,16,5.0,57,1.5814996225210907,62,-3.0956333347792335
10,10_0,RUNNING,BoTorch,0.12727735607227955,15,-1.9750366310532506,27,-1.2363425280480813,30,0.021406538918161952
10,10_1,RUNNING,BoTorch,0.016410981099629397,11,-4.362503573714005,24,0.27635022447212787,4,-0.39246534217058404
10,10_10,RUNNING,BoTorch,0.014008247781912824,15,-1.5423422220192162,3,-0.3300021561781335,4,-2.4362765635412513
10,10_11,RUNNING,BoTorch,0.08100676661198823,16,5.0,42,-1.21002405640983,29,-5.0
10,10_12,RUNNING,BoTorch,10.000221144664165,7,5.0,64,-4.707355312169023,40,2.325009866018476
10,10_13,RUNNING,BoTorch,0.01512628775287585,10,-3.7706835600770594,44,3.273707430050401,11,3.3593078598151656
10,10_14,RUNNING,BoTorch,9.999944152176568,15,2.6735832733632803,38,2.6520500220051164,15,-0.8940067279769952
10,10_15,RUNNING,BoTorch,0.030639031391454796,16,-4.806985843415681,12,-1.2772988941909957,4,-0.02658211615174762
10,10_2,RUNNING,BoTorch,0.025262830278677074,16,3.0720922052784028,1,4.99984539528104,64,-3.3190560604933657
10,10_3,RUNNING,BoTorch,0.08175607163566333,1,3.702131660131894,60,-4.878616319178075,41,-3.774320884603231
10,10_4,RUNNING,BoTorch,0.014965849541451649,16,-3.651134560246685,2,5.0,58,-3.495465593279829
10,10_5,RUNNING,BoTorch,0.029581084591591297,16,4.330371030893874,2,4.42255239641565,64,1.1887906583063066
10,10_6,RUNNING,BoTorch,9.999898450009166,16,-5.0,34,-0.9910369890342751,35,-0.03510785580125277
10,10_7,RUNNING,BoTorch,0.01989473998065749,9,-4.459966425428448,22,2.050638724574138,13,3.007426643193071
